,0
simplified_model_cla-class,456.6352329547253
simplified_model_q5,424.95507042670783
simplified_model_rx350,411.1577105126402
simplified_model_sky,405.79979885132906
simplified_model_allroad,393.2224727816217
simplified_model_aston-martin,393.2120850247084
type_pickup,364.5778672293476
condition_excellent,351.3013545399999
state_sc,337.0307385217443
simplified_model_e450,335.3340829713841
state_co,330.4584306467632
simplified_model_5,288.19278457432284
simplified_model_gl-class,278.733909343689
simplified_model_e350,248.3758444969266
state_ok,238.55160474484506
simplified_model_honda,202.13827370479666
simplified_model_es,194.84151858838027
simplified_model_gla,172.30374236273934
car_age odometer,139.98187819641205
simplified_model_e-series,125.59798687250066
simplified_model_enclave,123.5025379408971
simplified_model_highlander,123.39375302785845
state_al,117.11168531339268
state_wv,82.62246573963338
state_ks,74.85262645706204
simplified_model_avalanche,29.347591526202184
state_wy,18.4632983929581
simplified_model_6,11.179624325000253
simplified_model_element,-1.5579380774547804
simplified_model_xe,-10.927065630691121
state_sd,-23.786137503595683
simplified_model_acura,-29.871494843803585
simplified_model_benz,-67.74367143609605
state_ga,-82.6496728098088
state_in,-90.00825374179924
state_tx,-107.22427386325127
state_de,-128.32808591622188
state_md,-131.31794511781865
state_tn,-139.95565827512112
simplified_model_cavalier,-144.79737578842924
state_va,-184.77665185964497
simplified_model_rdx,-197.97286318959905
type_hatchback,-201.21405092307927
drive_Not Specified,-208.4295931662472
drive_rwd,-270.6795451744933
simplified_model_ranger,-315.06465803094443
state_ky,-315.2003580491391
state_fl,-327.2070977712585
type_sedan,-344.74617431888026
type_Not Specified,-405.7721509255703
state_il,-410.7627092711898
type_SUV,-443.89158119666956
simplified_model_c-class,-498.987692503134
simplified_model_cla,-519.3117065600072
state_la,-528.5022047355807
simplified_model_g,-534.8681096756378
simplified_model_a5,-558.4478321866176
state_nd,-592.8534736476586
type_wagon,-592.8874601170938
simplified_model_e-350,-599.862780515206
simplified_model_expedition,-619.7004977592359
simplified_model_xc90,-628.7100195653403
simplified_model_qx50,-655.318106692247
simplified_model_durango,-655.9978025550927
simplified_model_e150,-663.3519887791807
state_ny,-712.2005709212975
simplified_model_solstice,-735.8521713335033
simplified_model_350z,-752.2564702167418
state_ia,-776.669631451724
state_pa,-776.8853459835417
type_bus,-797.2884379653436
simplified_model_325i,-798.8378727566169
state_dc,-849.6931021210537
simplified_model_chrysler,-850.5612180260969
simplified_model_odyssey,-858.1576910427988
simplified_model_tlx,-863.0066192782259
simplified_model_mx-5,-907.0366095509412
state_ms,-958.4469793815263
state_oh,-971.3669662884745
simplified_model_armada,-974.1850074551987
state_wi,-977.8376509287518
simplified_model_a4,-986.7605872757294
state_mn,-1013.7049941140789
drive_fwd,-1106.9173390511355
