,price,year,condition,cylinders,odometer,title_status,transmission,drive,type,state,simplified_model
228220,2000,1956.0,Not Specified,8.0,82000.0,missing,manual,Not Specified,Not Specified,mt,ford
228402,700,1964.0,fair,6.0,51000.0,missing,manual,rwd,pickup,mt,ford
228407,1900,1961.0,good,6.0,47000.0,missing,automatic,rwd,wagon,mt,ford
230116,3000,2003.0,fair,6.0,310000.0,missing,automatic,Not Specified,Not Specified,nc,ford
230311,20000,1964.0,excellent,6.0,36804.0,missing,manual,4wd,SUV,nc,benz
231252,500,1998.0,salvage,4.0,338214.0,missing,manual,4wd,Not Specified,nc,outback
233280,7500,2007.0,good,8.0,197672.0,missing,automatic,4wd,truck,nc,chevrolet
233445,600,1998.0,fair,8.0,100000.0,missing,automatic,rwd,pickup,nc,f150
233674,2000,1993.0,good,6.0,195000.0,missing,automatic,rwd,van,nc,ford
234617,2999,1967.0,Not Specified,8.0,42000.0,missing,automatic,Not Specified,Not Specified,nc,ford
234786,300,1966.0,good,6.0,1.0,missing,automatic,Not Specified,sedan,nc,chevrolet
234848,3500,2007.0,excellent,6.0,149133.0,missing,automatic,Not Specified,sedan,nc,cts
235593,1400,2010.0,good,6.0,208000.0,missing,automatic,fwd,sedan,nc,mercury
235815,3500,1966.0,Not Specified,6.0,200000.0,missing,other,Not Specified,Not Specified,nc,impala
236032,800,2008.0,Not Specified,6.0,250000.0,missing,automatic,Not Specified,Not Specified,nc,pontiac
236100,600,2003.0,good,4.0,260000.0,missing,manual,fwd,sedan,nc,civic
237083,3200,1973.0,Not Specified,6.0,10000.0,missing,other,Not Specified,Not Specified,nc,challenger
237701,2500,1964.0,fair,8.0,100000.0,missing,automatic,rwd,truck,nc,ford
238861,20000,1964.0,excellent,6.0,36804.0,missing,manual,4wd,SUV,nc,benz
239493,13000,2017.0,fair,6.0,71000.0,missing,automatic,fwd,other,nc,sentra
240315,1000,1935.0,fair,6.0,0.0,missing,other,Not Specified,Not Specified,nc,chevrolet
241917,1000,2003.0,fair,8.0,322000.0,missing,automatic,rwd,truck,nc,silverado
241923,600,1999.0,salvage,4.0,225000.0,missing,other,Not Specified,Not Specified,nc,accord
242969,5000,2006.0,good,6.0,190000.0,missing,automatic,4wd,SUV,nc,porsche
242981,3500,2007.0,good,6.0,139550.0,missing,automatic,rwd,sedan,nc,cts
244232,8500,1966.0,good,6.0,71000.0,missing,automatic,Not Specified,Not Specified,nc,mustang
245064,1000,1978.0,salvage,8.0,180000.0,missing,automatic,4wd,pickup,nc,f150
245808,1700,1965.0,Not Specified,8.0,114000.0,missing,automatic,Not Specified,convertible,ne,ford
246081,600,1951.0,Not Specified,8.0,12345.0,missing,manual,Not Specified,Not Specified,ne,dodge
246589,1000,2012.0,Not Specified,6.0,144000.0,missing,automatic,Not Specified,Not Specified,nv,mercedes-benz
247094,8500,2016.0,excellent,4.0,10000.0,missing,manual,rwd,offroad,nv,volkswagen
247346,2000,1962.0,Not Specified,8.0,100900.0,missing,automatic,Not Specified,Not Specified,nv,chevrolet
247763,9995,1953.0,Not Specified,8.0,85000.0,missing,automatic,Not Specified,Not Specified,nv,chevrolet
248741,3395,1948.0,Not Specified,6.0,80000.0,missing,manual,Not Specified,Not Specified,nv,ford
249135,2000,1962.0,Not Specified,8.0,100900.0,missing,automatic,Not Specified,Not Specified,nv,chevrolet
249749,2000,2011.0,fair,4.0,179000.0,missing,automatic,fwd,sedan,nj,camry
252954,2900,1992.0,good,8.0,61000.0,missing,automatic,rwd,coupe,nj,benz
253055,1500,1963.0,Not Specified,8.0,100343.0,missing,automatic,Not Specified,Not Specified,nj,ford
253467,5400,1975.0,fair,8.0,1000.0,missing,automatic,Not Specified,Not Specified,nj,benz
255519,700,1995.0,good,4.0,115000.0,missing,automatic,fwd,sedan,nj,corolla
257899,1500,2012.0,salvage,4.0,74156.0,missing,automatic,Not Specified,Not Specified,nj,accord
259966,2500,1964.0,good,8.0,24120.0,missing,manual,Not Specified,Not Specified,nm,ford
261382,700,2004.0,salvage,8.0,135000.0,missing,manual,4wd,Not Specified,nm,expedition
261447,2500,1970.0,Not Specified,8.0,12345.0,missing,automatic,Not Specified,Not Specified,nm,dodge
261450,1500,1988.0,good,8.0,100000.0,missing,manual,rwd,other,nm,gmc
261529,3000,1949.0,fair,8.0,50000.0,missing,manual,rwd,truck,nm,chevrolet
261698,4500,1928.0,good,7.0,888888.0,missing,other,Not Specified,Not Specified,nm,ford
262198,1000,1973.0,Not Specified,8.0,999999.0,missing,automatic,Not Specified,Not Specified,nm,chevrolet
262271,1800,1976.0,Not Specified,8.0,42000.0,missing,automatic,Not Specified,Not Specified,nm,chevrolet
262338,4800,1949.0,good,8.0,10000000.0,missing,manual,rwd,pickup,nm,ford
262361,4000,1967.0,good,8.0,9000.0,missing,other,rwd,Not Specified,nm,chevrolet
262770,22000,1982.0,excellent,4.0,13000.0,missing,manual,fwd,pickup,nm,volkswagen
263514,1400,2005.0,fair,6.0,137000.0,missing,automatic,Not Specified,Not Specified,ny,buick
263661,1000,1973.0,Not Specified,8.0,60000.0,missing,manual,rwd,Not Specified,ny,mustang
264181,1800,1956.0,Not Specified,6.0,11265.0,missing,manual,Not Specified,Not Specified,ny,chevrolet
264896,800,1967.0,Not Specified,6.0,12345.0,missing,automatic,Not Specified,Not Specified,ny,mustang
269896,1900,1947.0,Not Specified,5.0,10000.0,missing,manual,Not Specified,Not Specified,ny,jeep
270163,2200,2005.0,good,4.0,82000.0,missing,manual,4wd,Not Specified,ny,outlander
270297,1800,1956.0,Not Specified,6.0,11265.0,missing,manual,Not Specified,Not Specified,ny,chevrolet
270619,1900,1947.0,Not Specified,5.0,10000.0,missing,manual,Not Specified,Not Specified,ny,jeep
271227,1900,1947.0,Not Specified,5.0,10000.0,missing,manual,Not Specified,Not Specified,ny,jeep
271362,35000,1958.0,Not Specified,6.0,51320.0,missing,automatic,Not Specified,Not Specified,ny,cadillac
271363,25000,1932.0,Not Specified,8.0,17355.0,missing,manual,Not Specified,Not Specified,ny,chevrolet
271365,30000,1963.0,Not Specified,8.0,70606.0,missing,automatic,Not Specified,Not Specified,ny,ford
274656,2000,2000.0,good,6.0,180000.0,missing,automatic,4wd,SUV,ny,grand
276335,1800,2008.0,good,6.0,132000.0,missing,automatic,4wd,sedan,ny,cadillac
277246,1000,1996.0,salvage,4.0,114000.0,missing,automatic,Not Specified,Not Specified,ny,camry
277710,9500,1995.0,good,4.0,10000.0,missing,manual,rwd,convertible,ny,mazda
277728,1100,1958.0,fair,6.0,100000.0,missing,manual,4wd,pickup,ny,jeep
277769,3400,2004.0,good,8.0,200000.0,missing,automatic,4wd,SUV,ny,yukon
278072,1875,2001.0,like new,6.0,120000.0,missing,automatic,fwd,sedan,ny,taurus
278080,3500,2004.0,Not Specified,4.0,192230.0,missing,automatic,Not Specified,Not Specified,ny,camry
282928,2900,1970.0,fair,8.0,62512.0,missing,automatic,rwd,coupe,nh,chevrolet
283178,1500,1994.0,fair,4.0,187000.0,missing,manual,4wd,SUV,nh,wrangler
283276,9600,1986.0,good,8.0,140000.0,missing,automatic,rwd,coupe,nh,buick
283406,3900,2003.0,fair,8.0,287000.0,missing,automatic,4wd,truck,nh,silverado
283514,9999,1964.0,excellent,8.0,96000.0,missing,automatic,rwd,Not Specified,nh,ford
284100,5000,1980.0,good,8.0,123456.0,missing,manual,Not Specified,Not Specified,nh,camaro
284627,12345,1986.0,excellent,6.0,86000.0,missing,manual,4wd,SUV,nh,jeep
284725,10500,1998.0,good,6.0,208000.0,missing,automatic,4wd,pickup,nh,2500
284774,1800,2004.0,Not Specified,6.0,330111.0,missing,manual,Not Specified,Not Specified,nh,ford
285021,3250,1986.0,good,8.0,5000.0,missing,automatic,rwd,Not Specified,nh,jaguar
285069,5600,1979.0,Not Specified,8.0,68000.0,missing,automatic,rwd,sedan,nh,town
285135,5500,1966.0,fair,6.0,40000.0,missing,automatic,rwd,convertible,nh,mustang
285379,2900,1965.0,fair,8.0,80943.0,missing,automatic,Not Specified,Not Specified,nh,chevrolet
285380,1300,1971.0,fair,8.0,81000.0,missing,automatic,fwd,convertible,nh,cadillac
285395,5000,1952.0,fair,6.0,100000.0,missing,manual,Not Specified,pickup,nh,dodge
285561,7000,1976.0,fair,8.0,100000.0,missing,automatic,rwd,truck,nh,chevrolet
285737,1234,1970.0,new,8.0,44444.0,missing,manual,Not Specified,Not Specified,nh,dodge
286854,11500,1924.0,good,4.0,1000.0,missing,manual,rwd,other,oh,ford
289853,2701,2001.0,good,4.0,136000.0,missing,manual,Not Specified,coupe,oh,accord
290805,500,1999.0,fair,8.0,175000.0,missing,automatic,fwd,sedan,oh,buick
294803,22000,1977.0,excellent,8.0,1000.0,missing,manual,rwd,hatchback,oh,chevrolet
301801,14995,2019.0,Not Specified,4.0,14000.0,missing,automatic,fwd,coupe,oh,civic
302197,500,1971.0,fair,8.0,1.0,missing,automatic,rwd,Not Specified,oh,mustang
302671,39000,1970.0,Not Specified,8.0,123456.0,missing,automatic,Not Specified,Not Specified,oh,chevrolet
304336,500,2007.0,good,4.0,18579.0,missing,automatic,fwd,sedan,ok,chevrolet
306096,6000,1964.0,Not Specified,8.0,72812.0,missing,manual,Not Specified,Not Specified,ok,chevrolet
306196,49000,1998.0,Not Specified,8.0,100.0,missing,automatic,Not Specified,Not Specified,ok,camaro
307815,200,2005.0,salvage,4.0,100000.0,missing,automatic,fwd,coupe,ok,chevrolet
308492,300,1998.0,Not Specified,4.0,248000.0,missing,automatic,Not Specified,Not Specified,ok,accord
309694,1000,1994.0,good,8.0,150000.0,missing,automatic,Not Specified,Not Specified,ok,camaro
309777,2000,2004.0,like new,6.0,2000.0,missing,other,Not Specified,Not Specified,ok,honda
311382,4500,2008.0,good,8.0,110000.0,missing,automatic,4wd,Not Specified,or,f250
312162,8600,2008.0,good,6.0,117000.0,missing,automatic,fwd,SUV,or,rav4
312633,3000,1995.0,Not Specified,6.0,180000.0,missing,automatic,4wd,SUV,or,4runner
313198,2000,2006.0,salvage,8.0,182000.0,missing,automatic,4wd,SUV,or,jeep
314137,1000,1981.0,fair,4.0,72000.0,missing,manual,Not Specified,Not Specified,or,volkswagen
315735,2500,2008.0,like new,6.0,109825.0,missing,automatic,Not Specified,Not Specified,or,impala
316282,4950,1997.0,good,8.0,999999.0,missing,automatic,rwd,coupe,or,camaro
316821,700,2006.0,fair,6.0,127527.0,missing,automatic,fwd,other,or,sentra
316921,1500,2001.0,good,4.0,152236.0,missing,automatic,Not Specified,Not Specified,or,saturn
317601,1500,2003.0,salvage,6.0,222522.0,missing,automatic,4wd,SUV,or,benz
318934,1500,1967.0,fair,6.0,100000.0,missing,manual,rwd,van,or,ford
319514,1500,1990.0,fair,4.0,54987.0,missing,manual,rwd,pickup,or,nissan
319935,1000,2001.0,Not Specified,6.0,212798.0,missing,manual,Not Specified,Not Specified,or,nissan
320022,650,2007.0,good,4.0,223380.0,missing,automatic,Not Specified,Not Specified,or,sorento
320110,9500,1929.0,good,8.0,35000.0,missing,manual,rwd,other,or,dodge
320211,2500,2008.0,good,8.0,190000.0,missing,automatic,Not Specified,Not Specified,or,expedition
320888,4500,1998.0,good,6.0,300000.0,missing,manual,4wd,truck,or,tacoma
322029,3700,2009.0,fair,4.0,1362936.0,missing,automatic,fwd,SUV,or,focus
322333,4495,1993.0,good,6.0,149000.0,missing,automatic,4wd,Not Specified,or,chevrolet
322655,3950,2016.0,good,4.0,102900.0,missing,automatic,Not Specified,sedan,or,elantra
324667,2975,1965.0,fair,8.0,72000.0,missing,manual,rwd,truck,or,ford
324684,19950,2014.0,Not Specified,8.0,77191.0,missing,automatic,4wd,Not Specified,or,2500
325656,1700,2000.0,good,4.0,100000.0,missing,manual,fwd,hatchback,or,golf
328132,7995,1979.0,good,8.0,100000.0,missing,automatic,rwd,coupe,pa,lincoln
329964,35000,1958.0,Not Specified,6.0,51320.0,missing,automatic,Not Specified,Not Specified,pa,cadillac
329965,30000,1968.0,Not Specified,6.0,12067.0,missing,automatic,Not Specified,Not Specified,pa,pontiac
331202,2500,2017.0,fair,4.0,100010.0,missing,automatic,fwd,sedan,pa,altima
333592,1500,1999.0,fair,4.0,198000.0,missing,automatic,fwd,SUV,pa,mercury
334938,7000,1987.0,fair,4.0,183010.0,missing,automatic,rwd,pickup,pa,jeep
335121,17500,1967.0,good,8.0,0.0,missing,automatic,rwd,coupe,pa,camaro
335447,2000,1947.0,Not Specified,8.0,123456.0,missing,manual,Not Specified,Not Specified,pa,ford
335637,800,2007.0,fair,6.0,144000.0,missing,automatic,4wd,sedan,pa,a6
336145,3000,1955.0,Not Specified,8.0,111111.0,missing,other,Not Specified,Not Specified,pa,ford
342241,14000,1987.0,good,8.0,1.0,missing,automatic,rwd,Not Specified,ri,silverado
342424,1800,2004.0,Not Specified,6.0,330111.0,missing,manual,Not Specified,Not Specified,ri,ford
342516,9000,1978.0,good,8.0,7000.0,missing,automatic,Not Specified,Not Specified,ri,corvette
342573,4000,1963.0,good,6.0,90000.0,missing,automatic,rwd,coupe,ri,chevrolet
342810,9500,1938.0,fair,8.0,123123.0,missing,manual,fwd,convertible,ri,expedition
343170,8500,1981.0,excellent,8.0,131000.0,missing,automatic,Not Specified,convertible,ri,benz
343183,11900,1970.0,excellent,8.0,10000.0,missing,manual,4wd,offroad,ri,jeep
343213,750,2005.0,good,6.0,180000.0,missing,automatic,4wd,SUV,ri,chevrolet
343510,2500,1987.0,fair,8.0,140000.0,missing,automatic,rwd,truck,ri,dodge
343606,4500,1993.0,good,6.0,45040.0,missing,other,rwd,hatchback,ri,mustang
343669,12500,1996.0,good,8.0,71181.0,missing,automatic,4wd,SUV,ri,ford
343681,5000,1997.0,excellent,8.0,132000.0,missing,automatic,4wd,SUV,ri,tahoe
343718,3000,2001.0,good,8.0,278000.0,missing,automatic,4wd,SUV,ri,yukon
343838,25000,1932.0,Not Specified,8.0,17355.0,missing,manual,Not Specified,Not Specified,ri,chevrolet
347555,2200,1963.0,fair,6.0,100000.0,missing,manual,rwd,pickup,sc,chevrolet
352378,12000,1981.0,good,8.0,500.0,missing,automatic,fwd,SUV,tn,chevrolet
352588,500,1982.0,fair,4.0,12344.0,missing,manual,Not Specified,truck,tn,ranger
355414,900,2005.0,Not Specified,6.0,219000.0,missing,automatic,Not Specified,Not Specified,tn,impala
356256,700,2006.0,salvage,4.0,1.0,missing,automatic,Not Specified,Not Specified,tn,prius
356504,1700,2007.0,salvage,6.0,207000.0,missing,automatic,rwd,SUV,tn,4runner
356957,5000,1989.0,salvage,6.0,200000.0,missing,automatic,4wd,Not Specified,tn,dodge
356989,400,2000.0,salvage,4.0,200000.0,missing,automatic,fwd,Not Specified,tn,sentra
357610,49000,1998.0,Not Specified,8.0,10.0,missing,automatic,Not Specified,Not Specified,tn,camaro
357611,49000,1998.0,Not Specified,8.0,10.0,missing,automatic,Not Specified,Not Specified,tn,camaro
358083,2200,1964.0,Not Specified,8.0,9999.0,missing,manual,Not Specified,Not Specified,tn,chevrolet
359142,3000,1956.0,good,4.0,1753.0,missing,manual,4wd,offroad,tn,jeep
359155,5500,1958.0,fair,8.0,80000.0,missing,manual,rwd,Not Specified,tn,dodge
360303,7000,1971.0,Not Specified,8.0,170000.0,missing,automatic,Not Specified,Not Specified,tn,chevrolet
360837,1234,2012.0,Not Specified,6.0,100000.0,missing,automatic,Not Specified,Not Specified,tn,ford
362805,10000,1999.0,good,8.0,156000.0,missing,automatic,4wd,truck,tx,f250
362892,30000,1964.0,Not Specified,8.0,67000.0,missing,manual,Not Specified,Not Specified,tx,corvette
363054,30000,1964.0,Not Specified,8.0,67000.0,missing,manual,Not Specified,Not Specified,tx,corvette
363083,7000,1947.0,Not Specified,8.0,12345.0,missing,manual,Not Specified,Not Specified,tx,pontiac
364133,700,2001.0,fair,4.0,178000.0,missing,other,Not Specified,Not Specified,tx,chrysler
364344,771,1986.0,Not Specified,8.0,85000.0,missing,manual,4wd,Not Specified,tx,f250
364390,350,2004.0,good,4.0,200000.0,missing,automatic,fwd,SUV,tx,mazda
365697,800,2003.0,salvage,6.0,150000.0,missing,automatic,rwd,sedan,tx,infiniti
366029,2500,2007.0,good,8.0,190000.0,missing,automatic,4wd,SUV,tx,jeep
366392,1500,1957.0,Not Specified,6.0,40000.0,missing,other,Not Specified,Not Specified,tx,chevrolet
366406,2700,2004.0,excellent,8.0,40000.0,missing,automatic,fwd,other,tx,cadillac
366407,2800,2013.0,like new,4.0,80000.0,missing,manual,rwd,convertible,tx,cooper
366908,1500,1998.0,excellent,8.0,200234.0,missing,automatic,Not Specified,Not Specified,tx,silverado
366914,1000,2005.0,Not Specified,6.0,200000.0,missing,automatic,Not Specified,Not Specified,tx,chevrolet
366923,1000,2010.0,good,8.0,1500.0,missing,automatic,Not Specified,Not Specified,tx,silverado
368645,3500,2013.0,new,4.0,127000.0,missing,automatic,Not Specified,Not Specified,tx,malibu
368897,2650,1948.0,Not Specified,8.0,1.0,missing,automatic,rwd,truck,tx,ford
369263,3200,2017.0,excellent,4.0,99200.0,missing,automatic,fwd,sedan,tx,hyundai
369905,2500,2003.0,fair,4.0,162708.0,missing,automatic,fwd,coupe,tx,mitsubishi
370147,3500,1986.0,Not Specified,8.0,100000.0,missing,manual,rwd,pickup,tx,chevrolet
370148,11500,1978.0,Not Specified,8.0,9284.0,missing,automatic,4wd,pickup,tx,chevrolet
370391,1500,1993.0,excellent,6.0,270000.0,missing,automatic,4wd,SUV,tx,explorer
370410,10000,1928.0,good,4.0,58997.0,missing,manual,rwd,truck,tx,chevrolet
370581,2000,2009.0,salvage,6.0,230000.0,missing,automatic,Not Specified,SUV,tx,pilot
370746,5500,1969.0,good,6.0,12458.0,missing,manual,4wd,offroad,tx,jeep
371768,2000,2009.0,good,6.0,120000.0,missing,automatic,rwd,coupe,tx,audi
372365,4500,1965.0,fair,6.0,12345.0,missing,manual,4wd,offroad,tx,toyota
373966,1600,2004.0,Not Specified,6.0,122000.0,missing,automatic,Not Specified,Not Specified,tx,odyssey
374560,2750,1957.0,Not Specified,8.0,999999.0,missing,other,Not Specified,Not Specified,tx,ford
375466,2000,1957.0,Not Specified,8.0,1.0,missing,other,Not Specified,Not Specified,tx,ford
376619,3500,1949.0,Not Specified,6.0,75000.0,missing,other,Not Specified,Not Specified,tx,chevrolet
376911,750,1993.0,fair,3.0,210000.0,missing,other,4wd,SUV,tx,4runner
377105,2500,1993.0,good,8.0,268000.0,missing,automatic,4wd,Not Specified,tx,suburban
377235,3500,2007.0,good,6.0,220000.0,missing,automatic,fwd,sedan,tx,bmw
380094,2000,1985.0,fair,6.0,12000.0,missing,automatic,fwd,sedan,tx,cadillac
380335,4200,1966.0,Not Specified,8.0,1111111.0,missing,manual,Not Specified,convertible,tx,mustang
380427,123,1978.0,fair,5.0,12345.0,missing,automatic,rwd,coupe,tx,benz
380785,8500,1963.0,good,6.0,50000.0,missing,manual,4wd,offroad,tx,benz
381696,3000,2005.0,fair,8.0,150000.0,missing,automatic,rwd,pickup,tx,chevrolet
381871,3800,1968.0,Not Specified,8.0,38000.0,missing,manual,Not Specified,Not Specified,tx,chevrolet
383279,2000,2003.0,fair,8.0,199500.0,missing,automatic,Not Specified,Not Specified,tx,expedition
383960,3500,1991.0,fair,4.0,100000.0,missing,manual,rwd,convertible,tx,mazda
384332,2700,2002.0,good,3.0,167444.0,missing,automatic,fwd,other,tx,grand
384524,2200,1980.0,Not Specified,6.0,70000.0,missing,manual,Not Specified,Not Specified,tx,jeep
385029,2100,1969.0,fair,8.0,100000.0,missing,automatic,rwd,truck,tx,ford
386879,1500,2004.0,Not Specified,8.0,209000.0,missing,automatic,Not Specified,Not Specified,vt,f250
386894,2900,2003.0,good,6.0,67500.0,missing,automatic,fwd,sedan,vt,dodge
386938,2900,2003.0,good,6.0,67500.0,missing,automatic,fwd,sedan,vt,dodge
386962,2900,2005.0,good,6.0,149000.0,missing,automatic,4wd,SUV,vt,grand
386963,2000,1968.0,fair,6.0,50000.0,missing,manual,4wd,Not Specified,vt,ford
387055,850,2005.0,good,6.0,113000.0,missing,automatic,fwd,sedan,vt,malibu
387142,12000,1930.0,Not Specified,8.0,65000.0,missing,manual,Not Specified,Not Specified,vt,chevrolet
387146,21500,1986.0,good,4.0,111000.0,missing,manual,4wd,wagon,vt,rover
387223,3700,2002.0,good,6.0,270000.0,missing,manual,4wd,Not Specified,vt,tacoma
387408,1800,2004.0,Not Specified,6.0,330111.0,missing,manual,Not Specified,Not Specified,vt,ford
387410,4500,1982.0,Not Specified,6.0,18000.0,missing,automatic,Not Specified,Not Specified,vt,impala
387542,1100,2002.0,fair,5.0,219352.0,missing,automatic,fwd,sedan,vt,volvo
387548,18500,1969.0,excellent,8.0,19178.0,missing,manual,Not Specified,Not Specified,vt,f250
387554,3500,1969.0,good,6.0,58000.0,missing,manual,Not Specified,Not Specified,vt,rover
387652,3000,2001.0,excellent,8.0,203000.0,missing,automatic,4wd,SUV,vt,tahoe
387912,3800,1969.0,good,6.0,58000.0,missing,manual,Not Specified,Not Specified,vt,rover
388367,12500,1983.0,Not Specified,8.0,55000.0,missing,automatic,Not Specified,Not Specified,vt,mercedes-benz
388922,500,2002.0,good,6.0,150000.0,missing,automatic,4wd,sedan,vt,a4
389157,3200,2006.0,good,4.0,128000.0,missing,automatic,fwd,coupe,vt,camry
389216,3600,2010.0,good,4.0,157687.0,missing,automatic,Not Specified,hatchback,vt,mazda
392036,2000,1966.0,Not Specified,8.0,1.0,missing,manual,Not Specified,Not Specified,va,ford
392453,2000,2005.0,good,6.0,208000.0,missing,automatic,rwd,sedan,va,bmw
392842,3500,2007.0,excellent,6.0,149133.0,missing,automatic,Not Specified,sedan,va,cts
392892,500,2001.0,fair,4.0,199000.0,missing,automatic,Not Specified,coupe,va,toyota
397182,1200,1960.0,Not Specified,8.0,100000.0,missing,automatic,Not Specified,van,va,chevrolet
398106,1500,1959.0,fair,8.0,100000.0,missing,automatic,rwd,other,va,ford
403933,1200,1944.0,fair,8.0,100000.0,missing,manual,4wd,offroad,wa,jeep
406049,1000,1956.0,good,8.0,42.0,missing,manual,rwd,Not Specified,wa,ford
408343,10000,1969.0,Not Specified,4.0,100.0,missing,other,Not Specified,Not Specified,wa,dodge
410315,3500,1983.0,good,8.0,105000.0,missing,manual,4wd,Not Specified,wa,f350
413625,350,1977.0,good,8.0,150000.0,missing,manual,4wd,truck,wa,f150
413866,5600,2006.0,salvage,8.0,184000.0,missing,automatic,4wd,pickup,wv,sierra
415230,2500,2010.0,fair,4.0,104665.0,missing,automatic,Not Specified,sedan,wi,elantra
415264,2500,2010.0,fair,4.0,104665.0,missing,automatic,Not Specified,sedan,wi,elantra
416858,450,2001.0,Not Specified,8.0,400000.0,missing,automatic,Not Specified,Not Specified,wi,f150
417631,600,1963.0,Not Specified,8.0,1000000.0,missing,manual,Not Specified,Not Specified,wi,chevrolet
424398,18500,1929.0,Not Specified,4.0,29.0,missing,automatic,Not Specified,Not Specified,wi,ford
425633,3000,1989.0,fair,8.0,123456.0,missing,manual,4wd,Not Specified,wi,f250
425993,8500,1974.0,good,6.0,19894.0,missing,manual,4wd,other,wi,jeep
