,price,year,condition,cylinders,odometer,title_status,transmission,drive,type,state,simplified_model
50783,3000,1976.0,fair,8.0,1000.0,missing,manual,4wd,Not Specified,ca,chevrolet
52146,10950,1990.0,excellent,4.0,147000.0,missing,manual,rwd,convertible,ca,mazda
54525,2500,1997.0,excellent,8.0,132359.0,missing,automatic,rwd,truck,ca,1500
55047,3000,1957.0,fair,8.0,0.0,missing,other,rwd,other,ca,chevrolet
55289,9000,2002.0,excellent,6.0,175000.0,missing,automatic,Not Specified,Not Specified,ca,benz
55505,7900,1957.0,Not Specified,8.0,1000.0,missing,manual,Not Specified,Not Specified,ca,ford
55522,2250,1959.0,Not Specified,7.0,1000.0,missing,manual,Not Specified,Not Specified,ca,dodge
55540,8500,1959.0,Not Specified,8.0,10000.0,missing,manual,Not Specified,Not Specified,ca,chevrolet
55671,15900,1959.0,Not Specified,8.0,60000.0,missing,automatic,Not Specified,Not Specified,ca,cadillac
55825,1400,1998.0,good,6.0,93000.0,missing,automatic,rwd,Not Specified,ca,explorer
56055,6900,1951.0,fair,6.0,34000.0,missing,manual,rwd,pickup,ca,gmc
56367,7500,1974.0,Not Specified,8.0,72000.0,missing,automatic,4wd,pickup,ca,ford
57365,4500,1949.0,good,6.0,150000.0,missing,manual,rwd,truck,ca,ford
57770,3950,1952.0,Not Specified,6.0,55000.0,missing,manual,Not Specified,Not Specified,ca,dodge
57923,21999,2010.0,excellent,8.0,85021.0,missing,automatic,Not Specified,coupe,ca,camaro
58562,750,1965.0,fair,4.0,114000.0,missing,manual,rwd,sedan,ca,volvo
59100,3000,1967.0,fair,4.0,88888.0,missing,manual,rwd,coupe,ca,volvo
62415,2500,2008.0,good,4.0,119000.0,missing,automatic,fwd,hatchback,ca,volkswagen
63093,1500,1961.0,Not Specified,6.0,100000.0,missing,automatic,Not Specified,Not Specified,ca,mercury
63217,799,2003.0,Not Specified,4.0,100000.0,missing,automatic,Not Specified,Not Specified,ca,sonata
65708,2250,1992.0,good,6.0,78500.0,missing,automatic,fwd,sedan,ca,chrysler
66761,4800,1929.0,Not Specified,4.0,20000.0,missing,manual,Not Specified,Not Specified,ca,ford
66863,3500,1969.0,Not Specified,8.0,12345.0,missing,automatic,rwd,Not Specified,ca,pontiac
66967,1500,2002.0,fair,4.0,158962.0,missing,automatic,fwd,Not Specified,ca,prius
68639,4700,1986.0,good,4.0,102800.0,missing,manual,rwd,convertible,ca,alfa-romeo
69434,5500,1976.0,Not Specified,4.0,55000.0,missing,manual,Not Specified,Not Specified,ca,volkswagen
69436,3500,1972.0,Not Specified,4.0,40000.0,missing,manual,Not Specified,Not Specified,ca,volkswagen
69437,4500,1972.0,Not Specified,4.0,42000.0,missing,other,Not Specified,Not Specified,ca,volkswagen
69821,5000,1962.0,good,8.0,17820.0,missing,automatic,rwd,Not Specified,ca,mercury
72980,3500,1973.0,Not Specified,8.0,123456.0,missing,other,Not Specified,Not Specified,co,chevrolet
73119,1400,1976.0,salvage,4.0,94354.0,missing,automatic,rwd,sedan,co,dodge
74587,5000,1954.0,Not Specified,6.0,100000.0,missing,manual,Not Specified,Not Specified,co,ford
75027,2500,1964.0,fair,6.0,200000.0,missing,manual,rwd,Not Specified,co,chevrolet
77698,4000,1953.0,Not Specified,8.0,999.0,missing,other,Not Specified,Not Specified,co,chevrolet
79741,5000,2001.0,salvage,8.0,150000.0,missing,automatic,4wd,truck,co,f350
80835,2000,1979.0,Not Specified,8.0,140000.0,missing,automatic,Not Specified,Not Specified,co,grand
81330,4000,1962.0,Not Specified,8.0,1000.0,missing,automatic,Not Specified,Not Specified,co,chevrolet
81489,11500,1964.0,Not Specified,6.0,1000.0,missing,automatic,Not Specified,Not Specified,co,impala
81877,15000,1942.0,good,8.0,1234567.0,missing,automatic,rwd,truck,co,ford
82953,37500,1934.0,Not Specified,8.0,5600.0,missing,automatic,Not Specified,Not Specified,ct,ford
83340,3000,1994.0,good,4.0,53000.0,missing,automatic,Not Specified,convertible,ct,pontiac
83469,2200,1995.0,Not Specified,6.0,10000.0,missing,manual,Not Specified,Not Specified,ct,mustang
83708,950,1995.0,good,8.0,194000.0,missing,automatic,4wd,pickup,ct,dodge
84426,4550,1987.0,good,6.0,132000.0,missing,automatic,fwd,coupe,ct,camaro
85928,30000,1965.0,Not Specified,8.0,70606.0,missing,automatic,Not Specified,Not Specified,ct,ford
85929,30000,1968.0,Not Specified,6.0,12067.0,missing,automatic,Not Specified,Not Specified,ct,pontiac
